session_id,user_id,timestamp,device,browser,location,events,duration_seconds,transactions,revenue,bounce,source_info,user_id_copy
sess_00010,,INVALID_DATE,tablet,,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-13T16:47:07""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-13T16:47:17""}]",1659,,120.67,0,"{""utm_source"": ""linkedin"", ""utm_medium"": ""social"", ""utm_campaign"": """", ""referrer_url"": null}",
sess_00011,,2024-03-26T08:47:42,tablet,Firefox,CA,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-03-26T08:47:42""}]",3443,2,,yes,"{""utm_source"": null, ""utm_medium"": ""CPC"", ""utm_campaign"": ""retargeting"", ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00012,,2024-02-21T02:35:00,desktop,Unknown,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-21T02:35:00""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-21T02:35:10""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-02-21T02:35:25""}]",329,,,,"{""utm_source"": ""None"", ""utm_medium"": """", ""utm_campaign"": """", ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00013,7714.0,2024-02-29T17:59:50,mobile,Chrome,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-29T17:59:50""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-29T18:00:00""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-02-29T18:00:15""}]",0,2,,no,"{""utm_source"": ""email"", ""utm_medium"": ""social"", ""utm_campaign"": null, ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
sess_00014,1103.0,2024-04-24T17:46:53,,Chrome,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-24T17:46:53""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-24T17:47:03""}]",3150,1,,0,"{""utm_source"": ""linkedin"", ""utm_medium"": ""social"", ""utm_campaign"": ""brand_awareness"", ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00015,5404.0,2024-02-14T00:59:31,,Edge,BR,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-14T00:59:31""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-14T00:59:41""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-02-14T00:59:56""}]",26,2,159.94,no,,
sess_00016,,2024-04-09T07:50:52,,Unknown,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-09T07:50:52""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-09T07:51:02""}]",1112,2,,yes,"{""utm_source"": ""linkedin"", ""utm_medium"": null, ""utm_campaign"": null, ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00017,3654.0,2024-04-07T23:28:05,,Safari,UK,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-07T23:28:05""}]",1933,1,,0,"{""utm_source"": ""None"", ""utm_medium"": ""CPC"", ""utm_campaign"": """", ""referrer_url"": """"}",
sess_00018,6438.0,2024-02-04T00:34:17,desktop,,IN,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-04T00:34:17""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-04T00:34:27""}]",1703,0,,0,"{""utm_source"": ""newsletter"", ""utm_medium"": null, ""utm_campaign"": ""retargeting"", ""referrer_url"": """"}",
sess_00019,,2024-04-03T22:42:16,tablet,,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-03T22:42:16""}]",0,1,113.21,1,"{""utm_source"": ""linkedin"", ""utm_medium"": ""email"", ""utm_campaign"": ""retargeting"", ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00020,3038.0,2024-02-18T14:08:13,mobile,Unknown,CA,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-18T14:08:13""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-18T14:08:23""}]",1240,,98.69,no,"{""utm_source"": ""google"", ""utm_medium"": ""organic"", ""utm_campaign"": ""brand_awareness"", ""referrer_url"": null}",3038.0
sess_00021,6192.0,2024-02-08T19:21:43,,,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-08T19:21:43""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-08T19:21:53""}]",896,,167.38,0,"{""utm_source"": ""google"", ""utm_medium"": ""social"", ""utm_campaign"": ""retargeting"", ""referrer_url"": """"}",
sess_00022,6838.0,2024-01-01T17:38:33,tablet,,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-01T17:38:33""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-01T17:38:43""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-01-01T17:38:58""}]",2539,,,yes,"{""utm_source"": """", ""utm_medium"": ""organic"", ""utm_campaign"": ""retargeting"", ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00023,,2024-04-25T00:02:08,,Chrome,DE,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-25T00:02:08""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-25T00:02:18""}]",416,,,,"{""utm_source"": ""None"", ""utm_medium"": ""cpc"", ""utm_campaign"": null, ""referrer_url"": """"}",
sess_00024,3491.0,2024-05-16T07:51:20,,Unknown,IN,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-16T07:51:20""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-16T07:51:30""}]",2716,,,,"{""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": """", ""referrer_url"": """"}",
sess_00025,2593.0,2024-04-15T05:14:50,mobile,Safari,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-15T05:14:50""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-15T05:15:00""}]",3155,2,,,"{""utm_source"": ""None"", ""utm_medium"": ""email"", ""utm_campaign"": ""retargeting"", ""referrer_url"": null}",
sess_00026,,2024-05-01T16:05:02,,Unknown,CA,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-01T16:05:02""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-01T16:05:12""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-05-01T16:05:27""}]",3259,,159.02,0,"{""utm_source"": """", ""utm_medium"": ""display"", ""utm_campaign"": null, ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
sess_00027,,2024-01-06T14:39:05,mobile,,IN,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-06T14:39:05""}]",3189,1,,0,"{""utm_source"": """", ""utm_medium"": ""display"", ""utm_campaign"": """", ""referrer_url"": null}",
sess_00028,6530.0,2024-02-21T11:18:54,desktop,Chrome,BR,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-21T11:18:54""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-21T11:19:04""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-02-21T11:19:19""}]",3234,0,,,"{""utm_source"": ""None"", ""utm_medium"": ""social"", ""utm_campaign"": null, ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00029,8138.0,2024-01-15T04:42:14,desktop,,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-15T04:42:14""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-15T04:42:24""}]",2761,,176.49,,"{""utm_source"": ""google"", ""utm_medium"": """", ""utm_campaign"": null, ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00030,2354.0,INVALID_DATE,desktop,Unknown,DE,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-02T09:49:48""}]",2873,,46.61,,"{""utm_source"": ""linkedin"", ""utm_medium"": ""email"", ""utm_campaign"": """", ""referrer_url"": """"}",
sess_00031,5661.0,2024-04-08T11:29:34,mobile,Unknown,DE,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-08T11:29:34""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-08T11:29:44""}]",936,2,,yes,"{""utm_source"": null, ""utm_medium"": """", ""utm_campaign"": """", ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00032,9396.0,2024-04-17T13:24:26,,Safari,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-17T13:24:26""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-17T13:24:36""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-04-17T13:24:51""}]",3006,0,,1,"{""utm_source"": ""facebook"", ""utm_medium"": ""cpc"", ""utm_campaign"": """", ""referrer_url"": """"}",
sess_00033,,2024-04-28T15:08:35,desktop,Edge,IN,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-28T15:08:35""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-28T15:08:45""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-04-28T15:09:00""}]",528,,130.65,1,"{""utm_source"": ""google"", ""utm_medium"": null, ""utm_campaign"": ""brand_awareness"", ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00034,4640.0,2024-01-23T20:18:54,desktop,Firefox,BR,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-23T20:18:54""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-23T20:19:04""}]",1107,0,168.59,yes,"{""utm_source"": ""facebook"", ""utm_medium"": """", ""utm_campaign"": """", ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
sess_00035,,2024-04-02T01:05:47,desktop,Chrome,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-02T01:05:47""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-02T01:05:57""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-04-02T01:06:12""}]",3551,2,170.14,,"{""utm_source"": ""newsletter"", ""utm_medium"": ""CPC"", ""utm_campaign"": null, ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00036,,2024-03-03T20:32:01,,Unknown,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-03-03T20:32:01""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-03-03T20:32:11""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-03-03T20:32:26""}]",403,0,2.77,,"{""utm_source"": null, ""utm_medium"": ""display"", ""utm_campaign"": ""brand_awareness"", ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
sess_00037,3605.0,2024-02-27T02:50:28,,Unknown,IN,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-27T02:50:28""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-27T02:50:38""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-02-27T02:50:53""}]",0,2,67.21,,"{""utm_source"": null, ""utm_medium"": """", ""utm_campaign"": ""spring_sale"", ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00038,,2024-03-17T11:24:35,tablet,Chrome,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-03-17T11:24:35""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-03-17T11:24:45""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-03-17T11:25:00""}]",1048,0,84.27,,"{""utm_source"": null, ""utm_medium"": ""social"", ""utm_campaign"": null, ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00039,,2024-05-24T07:03:38,tablet,Safari,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-24T07:03:38""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-24T07:03:48""}]",225,,,0,,
sess_00040,,2024-01-23T11:07:26,tablet,Firefox,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-23T11:07:26""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-23T11:07:36""}]",1726,,,1,"{""utm_source"": ""linkedin"", ""utm_medium"": ""email"", ""utm_campaign"": ""brand_awareness"", ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
sess_00041,,INVALID_DATE,tablet,Firefox,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-08T12:37:55""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-08T12:38:05""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-01-08T12:38:20""}]",2567,,62.81,0,"{""utm_source"": ""google"", ""utm_medium"": ""organic"", ""utm_campaign"": null, ""referrer_url"": null}",
sess_00042,7143.0,2024-04-24T03:34:42,desktop,,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-24T03:34:42""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-24T03:34:52""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-04-24T03:35:07""}]",,,157.02,1,,7143.0
sess_00043,4298.0,2024-04-19T23:33:45,,,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-19T23:33:45""}]",1156,1,,0,,
sess_00044,7596.0,2024-03-13T20:12:35,mobile,Edge,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-03-13T20:12:35""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-03-13T20:12:45""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-03-13T20:13:00""}]",570,2,0.75,0,"{""utm_source"": ""email"", ""utm_medium"": null, ""utm_campaign"": ""retargeting"", ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
sess_00045,,2024-01-18T08:37:49,mobile,Chrome,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-18T08:37:49""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-18T08:37:59""}]",2312,2,,1,"{""utm_source"": null, ""utm_medium"": ""CPC"", ""utm_campaign"": """", ""referrer_url"": null}",
sess_00046,2286.0,2024-01-09T23:25:19,tablet,Edge,CA,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-09T23:25:19""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-09T23:25:29""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-01-09T23:25:44""}]",0,,,0,"{""utm_source"": ""None"", ""utm_medium"": ""email"", ""utm_campaign"": null, ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
sess_00047,9901.0,2024-05-23T23:00:29,mobile,Chrome,CA,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-23T23:00:29""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-23T23:00:39""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-05-23T23:00:54""}]",1668,0,,yes,"{""utm_source"": """", ""utm_medium"": null, ""utm_campaign"": ""spring_sale"", ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00048,5716.0,2024-03-28T17:55:08,desktop,Chrome,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-03-28T17:55:08""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-03-28T17:55:18""}]",1962,2,,0,"{""utm_source"": ""linkedin"", ""utm_medium"": ""display"", ""utm_campaign"": ""spring_sale"", ""referrer_url"": """"}",
sess_00049,,2024-05-03T13:14:56,tablet,,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-03T13:14:56""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-03T13:15:06""}]",902,,176.62,yes,"{""utm_source"": ""email"", ""utm_medium"": """", ""utm_campaign"": ""brand_awareness"", ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00050,1648.0,2024-01-22T06:13:29,mobile,Chrome,UK,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-22T06:13:29""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-22T06:13:39""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-01-22T06:13:54""}]",3536,0,79.89,0,"{""utm_source"": ""facebook"", ""utm_medium"": ""display"", ""utm_campaign"": ""retargeting"", ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00051,2987.0,2024-04-25T22:56:09,,,IN,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-25T22:56:09""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-25T22:56:19""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-04-25T22:56:34""}]",962,0,,,"{""utm_source"": ""facebook"", ""utm_medium"": """", ""utm_campaign"": null, ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
sess_00052,,2024-01-07T01:40:12,mobile,Edge,CA,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-07T01:40:12""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-07T01:40:22""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-01-07T01:40:37""}]",1898,0,,yes,"{""utm_source"": ""None"", ""utm_medium"": ""social"", ""utm_campaign"": null, ""referrer_url"": """"}",
sess_00053,8765.0,2024-05-26T23:52:07,,,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-26T23:52:07""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-26T23:52:17""}]",3418,0,,0,"{""utm_source"": ""email"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""retargeting"", ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00054,,INVALID_DATE,tablet,Safari,CA,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-04T15:10:56""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-04T15:11:06""}]",2653,,,no,"{""utm_source"": ""newsletter"", ""utm_medium"": null, ""utm_campaign"": ""retargeting"", ""referrer_url"": """"}",
sess_00055,7783.0,2024-05-23T06:23:58,tablet,Chrome,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-23T06:23:58""}]",389,,,0,"{""utm_source"": ""facebook"", ""utm_medium"": """", ""utm_campaign"": """", ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00056,3577.0,2024-04-06T01:55:16,mobile,Unknown,CA,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-06T01:55:16""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-06T01:55:26""}]",3600,2,103.72,no,"{""utm_source"": ""google"", ""utm_medium"": """", ""utm_campaign"": null, ""referrer_url"": null}",
sess_00057,2030.0,2024-01-06T18:39:10,desktop,Edge,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-06T18:39:10""}]",618,2,97.3,,"{""utm_source"": ""facebook"", ""utm_medium"": ""email"", ""utm_campaign"": ""spring_sale"", ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
sess_00058,,2024-01-30T21:42:38,mobile,,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-30T21:42:38""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-30T21:42:48""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-01-30T21:43:03""}]",3033,2,88.39,yes,"{""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": ""retargeting"", ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00059,,2024-05-05T02:23:11,mobile,Unknown,DE,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-05T02:23:11""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-05T02:23:21""}]",2370,2,,,"{""utm_source"": ""email"", ""utm_medium"": ""organic"", ""utm_campaign"": ""spring_sale"", ""referrer_url"": """"}",
sess_00060,,2024-02-04T17:51:23,,Chrome,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-04T17:51:23""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-04T17:51:33""}]",1883,,,1,"{""utm_source"": ""email"", ""utm_medium"": """", ""utm_campaign"": """", ""referrer_url"": null}",
sess_00061,2498.0,2024-02-04T12:53:43,tablet,Chrome,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-04T12:53:43""}]",814,2,,,,2498.0
sess_00062,,2024-05-07T04:49:24,tablet,,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-07T04:49:24""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-07T04:49:34""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-05-07T04:49:49""}]",3098,,,yes,"{""utm_source"": """", ""utm_medium"": ""email"", ""utm_campaign"": ""retargeting"", ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00063,,2024-02-15T04:22:56,desktop,Edge,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-15T04:22:56""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-15T04:23:06""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-02-15T04:23:21""}]",2137,2,140.15,no,"{""utm_source"": ""None"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""spring_sale"", ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00064,2407.0,2024-05-01T07:16:20,,Unknown,DE,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-01T07:16:20""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-01T07:16:30""}]",2452,,168.35,,"{""utm_source"": ""facebook"", ""utm_medium"": ""CPC"", ""utm_campaign"": ""spring_sale"", ""referrer_url"": null}",
sess_00065,7372.0,2024-04-03T13:05:00,desktop,Unknown,UK,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-03T13:05:00""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-03T13:05:10""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-04-03T13:05:25""}]",0,,,yes,"{""utm_source"": ""google"", ""utm_medium"": ""organic"", ""utm_campaign"": ""brand_awareness"", ""referrer_url"": null}",
sess_00066,,2024-02-06T21:05:02,tablet,,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-06T21:05:02""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-06T21:05:12""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-02-06T21:05:27""}]",1888,,77.24,0,"{""utm_source"": ""newsletter"", ""utm_medium"": ""email"", ""utm_campaign"": ""spring_sale"", ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
